Game,Performance,Drive,Emulator,Update,Notes,Device
Archvale,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60fps in docked mode,Pocket 5
Arietta Of Spirits,Perfect,Qualcomm 0.746.0,Yuzu,1.2.8.0,Perfect 60fps in docked mode,Pocket 5
Arms,Great,Turnip 24.3.0 9v2,Citron,5.4.1,"Occasionally stuttering, FPS ranges 40-60 Docked. Some minor graphical issues (Disappears after loading)",Pocket 5
Army Of Ruin,Great,Qualcomm 805,Sudachi,1.0,"Played in docked mode, with no OC results in some stuttering in later levels due to the amount of monsters. usually 30FPS below level 12/13 dips to ~24 for a few moments at the start of each level. Played with the OC boot.img results in perfect 30FPS in later levels in docked mode. Trying to play a 2x resolution in handheld results in crashing when picking up boss boxes.",Pocket 5
Arrog,Great,Qualcomm 0.746.0,Yuzu,1.0.2,Don’t understand this game but it is smooth and runs well,Pocket 5
Art Of Rally,Perfect,Turnip 24.3.0 9v2,Citron,1.1.8 + DLC,"Perfect, locked 30 FPS. Docked Mode ON, Accuracy Level HIGH, Disk Shader Cache ON, Asynchronous Shaders ON RP5 in Performance mode (not High Performance). Very occasional micro-stutters, only brief and temporarily.",Pocket 5
Asdivine Hearts,Perfect,Qualcomm 0.746.0,Yuzu,1.0.3,Perfect 30fps in docked mode,Pocket 5
Aspire: Ina’s Tale,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked and looks amazing on OLED,Pocket 5
Assassin’s Creed 2,Poor,Qualcomm 0.746.0,Yuzu,1.0,Has severe graphical glitching not playable on Sudachi or Yuzu,Pocket 5
Assassin’s Creed 4,Playable,Turnip 24.3.0 9v2,Citron,1.0,"graphics accuracy on high docked mode off, fsr enabled.",Pocket 5
Assassin’s Creed 4,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Actually runs at decent framerate in handheld mode but lots of isual glitches,Pocket 5
Assassin’s Creed: The Ezio Collection,Playable,Turnip 24.3.0 9v2,Suyu,1.3,"Technically possible to get into the game and get 20-30fps fairly consistently. Frames hit 0 a lot and you need to swipe up the app into the recent apps screen and back down to make the frames start up again, but otherwise it’s 20-30fps. You will have to do this A LOT. Also isually it’s ERY glitchy. But I did manage to make it into AC2 up to the point where you meet the girl at night after jumping into the hay, didn’t crash. Can’t boot DLC.",Pocket 5
Assassin’s Creed: The Rebel Collection,Great,Turnip 24.3.0 9v2,Citron,1.0,"working with constant 25-30FPS, resolution 1x, accuracy level to High, DS on, FMC ON, UAS ON",Pocket 5
Assassin’s Creed: The Rebel Collection,Playable,Turnip 24.3.0 9v2,Suyu,1.0,".75x resolution, disk shader cache = true, force maximum clocks = true. Pretty finicky, seems to only crash sometimes when trying to boot, won’t boot at all if the settings aren’t right. Hits 20-30fps fairly consistantly, but does hit 0 FPS and hang there pretty often. Swipe the app up into recent apps and back down to jumpstart FPS again. Managed to boot into both games. Got onto land and killed the assassin after some parkour in black flag and ran around and did some parkour/cut scenes in rogue. Rogue seems to be less buggy, but both are isually ery buggy.",Pocket 5
Astalon: Tears Of The Earth,Perfect,Qualcomm 0.746.0,Yuzu,1.0.12.1,Perfect 60fps in docked mode,Pocket 5
Astalon: Tears Of The Earth,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Astebreed,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Black screen on Yuzu and Sudachi with either driver,Pocket 5
Asterix & Obelix Xxl3: The Crystal Menhir,Perfect,Turnip 24.3.0 9v2,Eden,1.0,27-30 fps Docked Mode 1080p DC: On Force Max: On Asyncrone: On,Pocket 5
Asterix & Obelix Xxxl: The Ram From Hibernia,Perfect,Turnip 24.3.0 9v2,Eden,1.0,30 fps (The main menu runs at 18 fps) Docked Mode 1080p DC: On Force Max: On Asyncrone: On,Pocket 5
Astlibra Revision,Perfect,Turnip 24.3.0 9v2,Citron,1.0.5,Runs at full speed 60fps in docked mode,Pocket 5
Astral Ascent,Poor,Qualcomm 0.746.0,Citron,1.0.13,Playable with graphical glitches for 30 minutes then crashes. Sudachi plays perfectly but crashes when accessing the merchant’s menu.,Pocket 5
Astral Chain,Great,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Astral Chain,Great,Qualcomm 744.12,Citron,1.0,v744.12 gives me the best performance. less dips. Handheld. Async & max clocks on,Pocket 5
Astral Chain,Great,Qualcomm 0.746.0,Yuzu,1.0,"Dips to 20fps in docked mode, but handheld mode is mostly 30 with an occasional dip to 25 but great experience.",Pocket 5
Astral Chain,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,"FPS can fluctuate (12-25 FPS) but is mostly playable, based on playing the intro.",Pocket 5
Astral Flux,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Astral Flux,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Astroneer,Poor,Qualcomm 0.746.0,Yuzu,1.0,No boot in Yuzu or Sudachi with either driver,Pocket 5
Atelier Ayesha: The Alchemist of Dusk DX,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Full speed at 30fps in handheld mode. Not a single frame drop.,Pocket 5
Atelier Marie Remake: The Alchemist of Salburg,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,Can get into town and run around. Frames gravitate around 20fps. bit sluggish but I would consider it playable.,Pocket 5
Atelier Ryza 3: Alchemist Of The End & The Secret Key,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,"Frames at 22-25 , mostly 23 , playable at this state",Pocket 5
Atelier Ryza 3: Alchemist Of The End & The Secret Key,Great,Turnip 24.3.0 9v2,Sudachi,1.0,0.75x resolution Disk shader cache ON Async Shaders ON Runs at constant 30fps,Pocket 5
Atelier Ryza: Ever Darkness & The Secret Hideout,Great,Turnip 24.3.0 9v2,Eden,1.0.8,Minor Graphic Visual Glitch 0.75x resolution Disk shader cache ON Async Shaders ON,Pocket 5
Atelier Shallie: Alchemists of the Dusk Sea DX,Great,Turnip 24.3.0 9v2,Suyu,1.0,From what I can tell it’s running almost perfect but does have some slight drops. Nothing that is super noticeable. I did have one moment where I was stuck on a loading loop but a reboot seemed to fix it.,Pocket 5
Atone: Heart Of The Elder Tree,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60fps in docked mode,Pocket 5
Avicci Invector,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Seems like its gonna work during calibration but then goes to 0fps black screen in Yuzu and Sudachi,Pocket 5
Azura’s Crystals,Poor,Turnip 24.3.0 9v2,Citron,1.0,Game starts but crashes after the girl goes out of the house in all emulators,Pocket 5
Azure Striker Gunvolt: Striker Pack,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Full 60 FPS Docked Mode looks gorgeous,Pocket 5
Baba Is You,Perfect,Qualcomm 0.746.0,Eden,1.0,,Pocket 5
Badland: Game Of The Year Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 60fps in docked mode, looks great on OLED",Pocket 5
Bakeru,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Video precision : High,Pocket 5
Balatro,Perfect,Turnip 23.2.0,Sudachi,1.0,,Pocket 5
Balatro,Perfect,Turnip 24.3.0 R5,Sudachi,Update 1.0.9,Other drivers should run fine but you will lose the background graphics in game,Pocket 5
Balatro,Perfect,Turnip 24.3.0 9v2,Citron,1.1.0,Citron is back in development! *IT SOMETIMES GETS STUCK ON LOADING JUST EXIT AND LAUNCH THE GAME UNTIL IT STARTS* 60 FPS Settings: Docked 1x Res. Turn on Force Maximum Clocks and Asynchronous Shaders If audio is stuttering/crackling change output to cubeb Everything else default.,Pocket 5
Baldo The Guardian Owls,Perfect,Qualcomm 0.746.0,Yuzu,1.0.15,Perfect 60fps docked,Pocket 5
Baldur’s Gate And Baldur’s Gate II: Enhanced Editions,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.4,Runs wonderfully,Pocket 5
Barbie Dreamhouse Adventures,Perfect,Turnip 24.3.0 9v2,Citron,2023.07.11,"Force Maximum clock, Use async shaders",Pocket 5
Bastion,Perfect,Qualcomm 0.746.0,Citron,1.0,Standard setup file works perfect for me. Docked is the only additional change.,Pocket 5
Bastion,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked,Pocket 5
Bat Boy,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a),Pocket 5
Batman Arkham Asylum,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,It’s running really great @30fps on 1x resolution. But at some points or after a couple of minutes in the game it’ll freeze and the only way to progress is to delete the compiled shaders. So it’s kinda annoying that you have to close the emulator and delete the shaders for every 3-5 minutes.,Pocket 5
Batman Arkham Asylum,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"30FPS @ Handheld, 0.75x Resolution",Pocket 5
Batman Arkham Asylum,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.1,25-30 FPS Docked Mode Resolution x0.75,Pocket 5
Batman Arkham City,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,"very playable, some slowdown in combat, much fan noise",Pocket 5
Batman Arkham City,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.2,30 Fps Handeld Mode Resolution x1,Pocket 5
Batman: The Telltale Series,Playable,Qualcomm 0.746.0,Citron,1.0,Slight graphic artifacts and frame drops that have a chance to get you killed in the quick time events.,Pocket 5
Battle Brothers,Perfect,Qualcomm 0.746.0,Sudachi,1.13.0,,Pocket 5
Battle Chasers: Nightwar,Great,Turnip 24.3.0 9v2,Sudachi,1.0.2,"Some minor graphical glitches when entering combat, nothing gamebreaking",Pocket 5
Battle Kid: Fortress Of Peril,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps docked,Pocket 5
Bayonetta,Great,Turnip 24.3.0 9v2,Citron,1.1,Works really well. Handheld x1. Could change fps to cap at 45 to improve eperience via “Limit speed percent” to 70-75%. I run at 100% and do experience frame drops. The most intensive part of the game is the opening part where you will see drops to nearly 30 fps but the rest of the game is 55-45 fps.,Pocket 5
Bayonetta,Great,Turnip 24.3.0 9v2,Sudachi,v1.1,minor fps drops when facing multiple enemies,Pocket 5
Bayonetta 2,Great,Turnip 24.3.0 9v2,Sudachi,1.2,Lag during some cutscenes but plays great,Pocket 5
Bayonetta 3,Poor,Turnip 24.3.0 9v2,Sudachi,1.2.0,Crashes when booting up game. Also crashes when changing drivers to Turnip 25.0.0 R4 or Qualcomm 777,Pocket 5
Bayonetta Origins: Cereza And The Lost Demon,Great,Qualcomm 0.746.0,Yuzu,1.0,"Stable 30fps docked mode, some minor isual glitches occasionally but a great experience",Pocket 5
Beasts Of Maravilla Island,Poor,Qualcomm 0.746.0,Yuzu,1.0.3,"It boots but every 20 seconds or so it completely freezes for several seconds I would consider unplayable, might be playable after shaders compile.",Pocket 5
Beat Cop,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,60 fps Docked Mode 1080p DC: On Force Max: On Asyncrone: On,Pocket 5
Belle Boomerang,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Beyblade X Xone,Poor,Turnip 24.3.0 9v2,Sudachi,1.0.6,crash after character selection,Pocket 5
Beyblade X Xone,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.6,Crash after character selection,Pocket 5
Beyond A Steel Sky,Perfect,Turnip 25.0.0 R5,Sudachi,1.0,"Handheld mode, perfect 30fps for first 25 min of game",Pocket 5
Beyond Good And Evil – 20th Anniversary Edition,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,"25fps docked mode some slowdown, better off playing on Gamecube",Pocket 5
Big Helmet Heroes,Great,Turnip 24.3.0 9v2,Citron,1.0,Sometimes a crash may occur when the game loads a new location,Pocket 5
"Big Kitty, Little City",Great,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Biomutant,Poor,Qualcomm 0.746.0,Yuzu,1.0,No launch in Sudachi or Yuzu with either driver,Pocket 5
Bioshock Remastered,Poor,Qualcomm 0.746.0,Yuzu,1.0,"Tried Sudachi and Yuzu with both drivers with and without update, everything is 10fps with major isual glitching.",Pocket 5
Bite The Bullet,Perfect,Qualcomm 0.746.0,Yuzu,1.2.1,Perfect 60fps in docked mode,Pocket 5
Black Skylands,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 30fps, weird game",Pocket 5
Black Witchcraft,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Plays Perfectly no audio glitches or lag,Pocket 5
Black Witchcraft,Great,Turnip 24.3.0 9v2,Yuzu,1.0,mine wont play audio? gameplay is smooth though,Pocket 5
Blade Assault,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 30fps docked mode,Pocket 5
Blade Chimera,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.35,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Blade Chimera,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Slow loading at first or in between scenes sometimes but works perfect,Pocket 5
Blade Runner Enhanced Edition,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Bladed Fury,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Plays great completed 2 levels: Some frame drops here and there but honestly faced this on switch as well,Pocket 5
Blair Witch,Poor,Qualcomm 0.746.0,Yuzu,1.0,No luck in Yuzu or Sudachi with either driver,Pocket 5
Blanc,Poor,Qualcomm 0.746.0,Yuzu,1.0,tried multiple settings but never got a stable frame rate and it has constant glitching in all drivers,Pocket 5
Blasphemous,Perfect,Qualcomm 0.746.0,Citron,1.0.8 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On,Pocket 5
Blasphemous,Perfect,Qualcomm 0.746.0,Yuzu,1.0.8,"1dlc installed, perfect 60fps docked",Pocket 5
Blasphemous 2,Perfect,Turnip 24.3.0 9v2,Citron,1.0.3,Citron is back in development! Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Blasphemous 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.4,Play amazingggg,Pocket 5
Blast Brigade vs. The Evil Legion Of Dr. Cread,Great,Qualcomm 0.746.0,Citron,1.0.4,"Experienced framerate drops using any Turnip, but it seems to work perfectly with the system driver.",Pocket 5
Blazing Strike,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,amazing game like tekken runs perfect,Pocket 5
Bloodstained – Curse Of The Moon,Perfect,Qualcomm 0.746.0,Citron,ver 1.1,,Pocket 5
Bloodstained: Ritual Of The Night,Great,Turnip 24.3.0 9v2,Sudachi,1.0,"If you Update the Game, it becomes unplayable with many graphical glitches. er.1.0 runs almost at 60fps in Handheld with no glitches.",Pocket 5
Bloomtown: A Different Story,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.1,Yuzu 278 (dc529a89a),Pocket 5
Bluey: The Videogame,Perfect,Turnip 24.3.0 9v2,Citron,1.0.6,"60FPS 1x resolution, Adapting Filter: AMD FidelityFX, AA Method: FXAA, Force Max Clock, Use Asynch shaders",Pocket 5
Bomb Rush Cyberfunk,Perfect,Turnip 24.1.0 R18,Citron,v1.0.19975 (v262144),"Docked mode, 1080p almost locked 60fps (rare drops to high 50s) Enable the in-game “Unleash the beast” setting for 60fps – default is 30fps. Citron latest ersion. Stock drivers and 9v2 had shadow graphical issues which are resolved using this driver. All other settings are default. Here is the download link for the 24.1.0 – Rev. 18 driver: https://github.com/K11MCH1/AdrenoToolsDrivers/releases/ download/v24.1.0_R18/Turnip-24.1.0.adpkg_R18.a6xx.zip",Pocket 5
Bomb Rush Cyberfunk,Perfect,Qualcomm 0.746.0,Citron,1.0.19975 + DLC,Citron is back in development! 30 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Bomb Rush Cyberfunk,Great,Qualcomm 0.746.0,Yuzu,1.0.19175,,Pocket 5
Bomb Rush Cyberfunk,Perfect,Qualcomm 0.746.0,Yuzu,1.0.19975,Perfect 30fps in docked mode,Pocket 5
Bonds Of The Skies,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Boomerang Fu,Great,Turnip 24.3.0 9v2,Yuzu,1.3.4,"Sometimes “soft” freezes, and I have to swipe up to task manager and it kicks back in. Also controllers have to swipe to open controller menu at player select screen every time to get them to kick back on.",Pocket 5
Boot Hill Heroes,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60 in docked mode,Pocket 5
Borderlands,Great,Qualcomm 0.746.0,Yuzu,1.0.2,Runs great in docked mode almost constant 30fps occasional dips,Pocket 5
Borderlands 2,Perfect,Turnip 24.3.0 9v2,Yuzu,2921a2426,Yuzu with this particular ersion only. Other ersions will be stuck on intro. Run perfect 30fps.,Pocket 5
Borderlands: The Pre-Sequel Ultimate Edition,Playable,Turnip 24.3.0 9v2,Yuzu,1.0.1,"Runs 20-30fps and has frequent pauses, playable if you have a lot of patience",Pocket 5
Boreal Tenebrae,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Perfect in handheld mode,Pocket 5
Born Of Bread,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,"colors look like their blown out on first load, exit & restart fixed",Pocket 5
Born Of Bread,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Boti: Byteland Overclocked,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,Handheld mode gets mostly 30fps but there is def some glitching and dips,Pocket 5
Braid Anniversary Edition,Perfect,Qualcomm 0.746.0,Sudachi,1.5.0,Docked runs at 40-60 FPS,Pocket 5
Bramble The Mountain King,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Black screen on Yuzu and Sudachi with both drivers,Pocket 5
Bravely Default II,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,some fps dips and sound crackling,Pocket 5
Breathedge,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.2,Crashes after intro in Yuzu and Sudachi with both drivers,Pocket 5
Brewmaster Beer Brewing Simulator,Poor,Qualcomm 0.746.0,Sudachi,1.0,Game won’t load at all,Pocket 5
Broforce,Perfect,Turnip 24.3.0 9v2,Yuzu,1.1.3132,Runs perfect. Solid fps the entire first mission and in menus.,Pocket 5
Brotato,Perfect,Qualcomm 0.746.0,Yuzu,1.0.0.3h,Perfect 60fps in docked mode,Pocket 5
Brothers,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"Perfect 60fps but some audio glitching that will bother you if you are sensitive to that, also the dual trigger dual stick controls of this game are ery uncomfortable on RP5",Pocket 5
Bud Spencer & Terence Hill – Slaps And Beans 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,60 fps Docked Mode 1080p DC: On Force Max: On Asyncrone: On,Pocket 5
Bug Fables,Perfect,Turnip 24.3.0 9v2,Citron,1.2.0.1,Runs perfectly at full speed,Pocket 5
Bugsnax,Great,Qualcomm 0.746.0,Yuzu,1.0.2,Almost perfect I am getting one weird black box isual glitch in the background but it plays great,Pocket 5
Bulletstorm Duke Of Switch Edition,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Bulletstorm Duke Of Switch Edition,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Burnout Legends,Great,Turnip 24.3.0 9v2,Sudachi,1.0,Some minor slowdowns but almost always above 50fps,Pocket 5
Burnout Paradise Remastered,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,Audio engine – cubeb,Pocket 5
Burnout Paradise Remastered,Great,Turnip 24.3.0 9v2,Sudachi,1.0,Not quite locked on 60FPS but plays smooth.,Pocket 5
Butcher,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Bzzzt,Perfect,Qualcomm 0.746.0,Citron,1.0,Plays perfectly,Pocket 5
Bzzzt,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps fun game!,Pocket 5
Cadence Of Hyrule: Crypt Of The Necrodancer,Perfect,Qualcomm 0.746.0,Yuzu,1.4.0,Perfect 60fps in docked mode,Pocket 5
Call Of Juarez: Gunslinger,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.3,"Mode: Handheld, 30FPS locked",Pocket 5
Capcom Fighting Collection 2,Perfect,Turnip 24.3.0 9v2,Citron,1.0.2,Docked 1x No issues Prod.Key 20+,Pocket 5
Captai,Great,Turnip 25.2.0 R9,Eden,1.3.0,Great. Playable up to 35 FPS,Pocket 5
Captain Toad: Treasure Tracker,Great,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Captain Toad: Treasure Tracker,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,"locked 60 fps, Plays great!",Pocket 5
Caravan Sandwich,Poor,Turnip 24.3.0 9v2,Citron,1.0,crashes on load,Pocket 5
Carrion,Perfect,Qualcomm 805,Sudachi,1.0,,Pocket 5
Carto,Perfect,Qualcomm 0.746.0,Yuzu,1.0.4,Perfect 60fps in docked mode,Pocket 5
Cassette Beasts,Great,Qualcomm 0.746.0,Yuzu,1.3.0,"1 DLC installed, almost perfect 30fps in handheld mode but threre are some dips, still a ery good experience.",Pocket 5
Castlestorm,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Default settings.,Pocket 5
Castlestorm 2,Poor,Turnip 24.3.0 9v2,Yuzu,1.2.0.0,"50 fps in main game at 0.75x handheld, 60 in arcade mode. Crashes after a minute.",Pocket 5
Castlevania Anniversary Collection,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked,Pocket 5
Castlevania Dominus Collection,Perfect,Turnip 24.3.0 9v2,Citron,1.1,,Pocket 5
Cat Quest,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked mode,Pocket 5
Cat Quest III,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Cat Quest III,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Catan Console Edition,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Catan Console Edition,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Catastronauts!,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Catherine: Full Body,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.1,,Pocket 5
Cave Story+,Perfect,Qualcomm 0.746.0,Yuzu,1.3,Perfect 60fps docked,Pocket 5
Cel Damage Hd,Poor,Qualcomm 0.746.0,Yuzu,1.0,Boots to a black screen on Yuzu and Sudachi with both drivers,Pocket 5
Celeste,Poor,Turnip 25.2.0 R9,Sudachi,1.4.0.0,Crashes when meeting the old man and first dialog starts,Pocket 5
Celeste,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0.0,,Pocket 5
Celeste,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.1,Perfect performance with no additional changes in the settings needed. 60 FPS.,Pocket 5
Celeste,Perfect,Turnip 24.3.0 9v2,Citron,1.4.1.1,,Pocket 5
Chained Echoes,Perfect,Qualcomm 0.746.0,Yuzu,1.31,Does not boot with Turnip 9v2,Pocket 5
Chicken Police,Playable,Qualcomm 0.746.0,Yuzu,1.0.3,A little choppy but its playable in docked mode,Pocket 5
Child Of Light Ultimate Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 60fps docked, looks amazing on OLED",Pocket 5
Chocobo Gp,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.4.1 + DLC,Yuzu 278 (dc529a89a) Runs at ~60fps docked Mays crash in the intro loop (just press A button to bypass) Works with other Turnips but not default / Qualcomm,Pocket 5
Choo-Choo Charles,Playable,Turnip 25.0.0 R5,Yuzu,1.0,Actually plays well in handheld mode but there is no audio and some isual glitches,Pocket 5
Chrono Cross – The Radical Dreamers Edition,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Circuit Superstars,Perfect,Qualcomm 0.746.0,Sudachi,1.0,"The game works perfectly after several championships. It has only frozen when I tried to close the emulator, and it got stuck. But the game was saved.”",Pocket 5
Citizen Sleeper,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Citizen Sleeper,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Civilization II,Great,Turnip 24.1.0 R18,Sudachi,1.0,"Needs the last Sudachi ersion, game loads and works great, but the map appears cloudy, but texts can be read",Pocket 5
Clubhouse Games,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Runs well in Standard performance mode,Pocket 5
Cluster Truck,Perfect,Qualcomm 0.746.0,Citron,1.0,Almost Perfect 60 FPS Docked in levels Some minor FPS dips occasionally Only low FPS in menu,Pocket 5
Cobalt Core,Poor,Qualcomm 0.746.0,Sudachi,1.0,Tried multiple drivers and settings. Hangs at the start up loading screen.,Pocket 5
Code Of Princess Ex,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Code Realize Wintertide Miracles,Perfect,Turnip 24.1.0 R18,Yuzu,1.0,"docked mode. 60fps most of the time except when recalling the log, but this is an issue i faced on official hardware as well. save often, game was prone to ery occasional crashes but switching to handheld mode might help. i never used skip text function, but i saw online people saying it would crash the game on official hardware so skip with caution.",Pocket 5
Coffee Talk,Perfect,Qualcomm 0.746.0,Yuzu,1.47,Perfect 60fps in docked mode,Pocket 5
Collection Of Mana,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect docked,Pocket 5
Commandos 2 – HD Remaster,Great,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Undocked Video precision : High Force max frequencies : Yes,Pocket 5
Commandos 3 – HD Remaster,Great,Turnip 24.3.0 9v2,Yuzu,v1.00.053,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Company Of Heroes,Great,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Contra Operation Galuga,Great,Turnip 24.3.0 9v2,Sudachi,1.0.882291,"Default settings. Locked 30 fps at 1x in arcade mode, crashes after defeating the first boss. In campaign mode, it crashes before the boss.",Pocket 5
Contra Operation Galuga,Great,Turnip 23.2.0,Citron,1.0,Some drops in FPS during startup and initial animation screen. But once the game is loaded I get a solid 30FPS for all game play as well as animation and dialog scenes. Borderline perfect.,Pocket 5
Core Keeper,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Update breaks the game and doesn’t run. Stay on base ersion. Turnip doesn’t work. Yuzu doesn’t work. Sudachi and Suyu offer same performance. Perfect 50-60 FPS (Game’s target is 30).,Pocket 5
Corpse Party,Perfect,Qualcomm 0.746.0,Yuzu,1.03,Perfect 60fps in docked mode,Pocket 5
Crash Bandicoot 4,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"2DLC, handheld mode, .75x resolution, gets 25-30fps ery fun on rp5",Pocket 5
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.1.0 R17,Citron,be191f740,"Most of the game runs perfect, but there are some small parts where it runs at ~10fps, so far I’ve seen this at the end of the bonus stages and whenever a specific enemy is on screen 1x (handheld) sync- immediate (off). Use asynchronous shaders – yes. CPU accuracy – unsafe.",Pocket 5
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.1.0 R18,Yuzu,1.0,it runs around 30 fps for most of it but did freeze in the second level of crash warped but that might be a one time thing,Pocket 5
Crash Bandicoot N. Sane Trilogy,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"0.75x Docked rendering (810p), Force maximum clocks and asynchronous shader set to on, rest default. RP5 in High Performance mode. Above gives solid and smooth 30fps (at least in 1st and 3rd part of the trilogy, I haven’t tested 2nd part yet).",Pocket 5
